timestamp_s,temperature_c,humidity_percent,pressure_hpa,source,has_humidity,has_pressure
1789193185.751437,40.342124,23.079295,982.790039,sense_hat,1,1
1789193185.857971,40.342124,23.237364,982.774170,sense_hat,1,1
1789193185.964494,40.323699,23.192692,982.782471,sense_hat,1,1
1789193186.071017,40.342124,23.068987,982.736572,sense_hat,1,1
1789193186.177546,40.342124,23.075859,982.777588,sense_hat,1,1
1789193186.284082,40.323699,23.271727,982.732422,sense_hat,1,1
1789193186.390609,40.323699,23.099913,982.742676,sense_hat,1,1
1789193186.497134,40.323699,23.099913,982.729248,sense_hat,1,1
1789193186.603663,40.342124,23.137712,982.745117,sense_hat,1,1
1789193186.710196,40.342124,23.233928,982.745850,sense_hat,1,1
1789193186.816713,40.342124,23.041496,982.733398,sense_hat,1,1
1789193186.923239,40.360549,23.251109,982.778564,sense_hat,1,1
1789193187.029768,40.323699,23.199565,982.801514,sense_hat,1,1
1789193187.136306,40.305275,23.247673,982.740234,sense_hat,1,1
1789193187.242833,40.342124,23.326707,982.778320,sense_hat,1,1
1789193187.349367,40.323699,23.089604,982.811279,sense_hat,1,1
1789193187.455894,40.323699,23.110222,982.842773,sense_hat,1,1
1789193187.562427,40.342124,23.038060,982.770752,sense_hat,1,1
1789193187.668961,40.305275,23.326707,982.788818,sense_hat,1,1
1789193187.775491,40.360549,23.182384,982.791504,sense_hat,1,1
1789193187.882027,40.305275,23.010570,982.839600,sense_hat,1,1
1789193187.988565,40.286850,23.282036,982.829590,sense_hat,1,1
1789193188.095105,40.323699,23.165202,982.812744,sense_hat,1,1
1789193188.201675,40.305275,23.161766,982.750732,sense_hat,1,1
1789193188.308217,40.323699,23.123967,982.749756,sense_hat,1,1
1789193188.414762,40.323699,23.089604,982.776611,sense_hat,1,1
1789193188.521329,40.323699,23.165202,982.681396,sense_hat,1,1
1789193188.627858,40.323699,23.264854,982.760254,sense_hat,1,1
1789193188.734402,40.323699,23.117094,982.713867,sense_hat,1,1
1789193188.840930,40.323699,23.099913,982.717529,sense_hat,1,1
1789193188.947471,40.323699,23.086168,982.741455,sense_hat,1,1
1789193189.054018,40.305275,23.154893,982.811279,sense_hat,1,1
1789193189.160564,40.305275,23.106786,982.815430,sense_hat,1,1
1789193189.267112,40.305275,23.316398,982.769043,sense_hat,1,1
1789193189.373661,40.286850,23.058678,982.833740,sense_hat,1,1
1789193189.480209,40.286850,23.278599,982.796387,sense_hat,1,1
1789193189.586751,40.305275,23.182384,982.801025,sense_hat,1,1
1789193189.693296,40.305275,23.257982,982.802490,sense_hat,1,1
1789193189.799845,40.342124,23.134276,982.815918,sense_hat,1,1
1789193189.906397,40.323699,23.213310,982.816162,sense_hat,1,1
1789193190.012952,40.323699,23.154893,982.819336,sense_hat,1,1
1789193190.119503,40.305275,23.340452,982.861816,sense_hat,1,1
1789193190.226080,40.305275,23.216746,982.845947,sense_hat,1,1
1789193190.332625,40.342124,23.093040,982.806885,sense_hat,1,1
1789193190.439183,40.305275,23.285472,982.820801,sense_hat,1,1
1789193190.545749,40.342124,23.086168,982.816406,sense_hat,1,1
1789193190.652310,40.305275,23.058678,982.782227,sense_hat,1,1
1789193190.758858,40.323699,23.357634,982.788330,sense_hat,1,1
1789193190.865415,40.286850,23.137712,982.863281,sense_hat,1,1
1789193190.971976,40.286850,22.962462,982.776611,sense_hat,1,1
1789193191.078521,40.342124,23.199565,982.779297,sense_hat,1,1
1789193191.185027,40.305275,23.230492,982.860596,sense_hat,1,1
1789193191.291522,40.342124,23.333580,982.818115,sense_hat,1,1
1789193191.398018,40.305275,23.137712,982.803955,sense_hat,1,1
1789193191.504510,40.323699,23.158330,982.822998,sense_hat,1,1
1789193191.611009,40.323699,23.093040,982.830566,sense_hat,1,1
1789193191.717513,40.305275,23.062114,982.813232,sense_hat,1,1
1789193191.824010,40.305275,23.244237,982.781494,sense_hat,1,1
1789193191.930552,40.305275,23.206438,982.796387,sense_hat,1,1
1789193192.037115,40.286850,23.247673,982.802002,sense_hat,1,1
1789193192.143666,40.286850,23.041496,982.807373,sense_hat,1,1
1789193192.250226,40.305275,23.120531,982.766846,sense_hat,1,1
1789193192.356790,40.305275,23.175511,982.778076,sense_hat,1,1
1789193192.463342,40.305275,23.285472,982.775635,sense_hat,1,1
1789193192.569934,40.323699,23.271727,982.757568,sense_hat,1,1
1789193192.676529,40.305275,23.144585,982.770996,sense_hat,1,1
1789193192.783078,40.323699,23.120531,982.766846,sense_hat,1,1
1789193192.889629,40.323699,23.120531,982.765625,sense_hat,1,1
1789193192.996225,40.305275,23.141148,982.786621,sense_hat,1,1
1789193193.102825,40.286850,23.261418,982.800537,sense_hat,1,1
1789193193.209392,40.286850,23.268291,982.838379,sense_hat,1,1
1789193193.315948,40.286850,23.216746,982.819580,sense_hat,1,1
1789193193.422485,40.286850,23.257982,982.725830,sense_hat,1,1
1789193193.529045,40.286850,23.302653,982.711670,sense_hat,1,1
1789193193.635614,40.286850,23.350761,982.748291,sense_hat,1,1
1789193193.742162,40.286850,23.216746,982.804443,sense_hat,1,1
1789193193.848694,40.323699,23.175511,982.698242,sense_hat,1,1
1789193193.955265,40.342124,23.292344,982.829102,sense_hat,1,1
1789193194.061846,40.286850,23.299217,982.810791,sense_hat,1,1
1789193194.168396,40.305275,23.220183,982.793457,sense_hat,1,1
